Name|md5|Machine|SizeOfOptionalHeader|Characteristics|MajorLinkerVersion|MinorLinkerVersion|SizeOfCode|SizeOfInitializedData|SizeOfUninitializedData|AddressOfEntryPoint|BaseOfCode|BaseOfData|ImageBase|SectionAlignment|FileAlignment|MajorOperatingSystemVersion|MinorOperatingSystemVersion|MajorImageVersion|MinorImageVersion|MajorSubsystemVersion|MinorSubsystemVersion|SizeOfImage|SizeOfHeaders|CheckSum|Subsystem|DllCharacteristics|SizeOfStackReserve|SizeOfStackCommit|SizeOfHeapReserve|SizeOfHeapCommit|LoaderFlags|NumberOfRvaAndSizes|SectionsNb|SectionsMeanEntropy|SectionsMinEntropy|SectionsMaxEntropy|SectionsMeanRawsize|SectionsMinRawsize|SectionMaxRawsize|SectionsMeanVirtualsize|SectionsMinVirtualsize|SectionMaxVirtualsize|ImportsNbDLL|ImportsNb|ImportsNbOrdinal|ExportNb|ResourcesNb|ResourcesMeanEntropy|ResourcesMinEntropy|ResourcesMaxEntropy|ResourcesMeanSize|ResourcesMinSize|ResourcesMaxSize|LoadConfigurationSize|VersionInformationSize|packed|legitimate
Soft.bin|4161214d9678c6d7fe45753bceb4eae6|332|224|258|8|0|936448|60928|0|944382|8192|0|4194304|8192|512|4|0|0|0|4|0|1024000|512|0|2|34144|1048576|4096|1048576|4096|0|16|3|5.041048594970907|0.08153941234324169|7.875639735579213|332458.6666666667|512|936448|332152.0|12|936196|1|1|0|0|4|4.441814027483067|1.1540157730728|7.911827325918137|14985.0|20|58221|0|0|1|0
19a13635e99a04e45cc3b2a75989705d8934f719067e047b6d963d94264473d2.exe|d7190f6f34fe8fc522a71450667c6672|34404|240|8226|12|0|380928|314368|0|210652|4096|0|6442450944|4096|512|6|0|0|0|6|0|708608|1024|0|2|288|1048576|4096|1048576|4096|0|16|6|5.604186787643098|3.8638293765242397|7.775067258642137|114005.33333333333|4096|380928|115575.83333333333|3700|380675|3|104|0|129|3|5.0859715203696165|2.566961045565863|7.779338999807882|55119.0|112|164864|112|0|0|0
dd6c469dfa69088edda144b9b1fb9a6914c91f0c82a5440525cbb2215336d697.exe|6f2eb60dda4109605c7817a87c395632|332|224|258|48|0|683520|69632|0|691582|8192|696320|4194304|8192|512|4|0|0|0|4|0|778240|512|0|2|34112|1048576|4096|1048576|4096|0|16|3|4.117477479545424|0.09800417566270775|7.638412253678677|251050.66666666666|512|683520|250754.66666666666|12|683396|1|1|0|0|3|3.196334320548722|1.6709505944546688|4.5990922284764695|22873.333333333332|20|67624|0|0|1|0
85a019270be6798c34e0941aeb1a6fda6b6d85c12fa3389ad8afa6b8d3ab2e68.exe|c512480887bd30ddaf1cfab031af7ad3|34404|240|8226|12|0|380928|314368|0|210652|4096|0|6442450944|4096|512|6|0|0|0|6|0|708608|1024|0|2|288|1048576|4096|1048576|4096|0|16|6|5.604192439363739|3.8638293765242397|7.775067258642137|114005.33333333333|4096|380928|115575.83333333333|3700|380675|3|104|0|129|3|5.0859715203696165|2.566961045565863|7.779338999807882|55119.0|112|164864|112|0|0|0
b3bf6978d925e39f8585e4753da3f197556151bef0ad1500986a100f2ba511bc.exe|aab2b4cc874e31a43b24ba93d46b2ebf|332|224|258|80|0|686080|167936|0|693966|8192|696320|4194304|8192|512|4|0|0|0|4|0|876544|512|0|2|34112|1048576|4096|1048576|4096|0|16|3|3.431667953024323|0.10191042566270775|7.20934204452316|284672.0|512|686080|284269.3333333333|12|685780|1|1|0|0|12|3.1553271865574675|2.129250678582092|7.577130660329361|13859.916666666666|132|67624|0|0|1|0
7cf52742d181f36472f93ae865128948de952f4cc2440914fa68c659f8c8a07d.exe|28790cf461987ac21e4568970287833c|34404|240|8226|14|29|93184|234496|0|7760|4096|0|6442450944|4096|512|6|0|0|0|6|0|344064|1024|0|2|288|1048576|4096|1048576|4096|0|16|7|4.8438397437660425|2.01368355891762|7.845677103931159|46080.0|512|165888|46504.28571428572|252|165600|3|93|0|129|3|5.1096985104706665|2.566961045565863|7.850519970111032|55119.0|112|164864|312|0|0|0
70b3fb539c3ec6ece52b70134cc165ee45920ba946b7263ef9810221524179fd.exe|470891282f2feca588c55a79918a9c16|34404|240|8226|14|29|93184|232960|0|7776|4096|0|6442450944|4096|512|6|0|0|0|6|0|344064|1024|0|2|288|1048576|4096|1048576|4096|0|16|7|4.827282640453043|1.977400350166309|7.778287270387418|45860.57142857143|512|164352|46287.142857142855|252|164064|3|93|0|129|3|5.086652195096646|2.566961045565863|7.781381023988972|54607.0|112|163328|312|0|0|0
970406f2773fbbfc31cf831fb6c5de0b4fbc206e5f5fa9c93ad06e1209bda266.exe|1fe364ea6a61d9030191db48309cd0c1|332|224|258|48|0|1874944|1536|0|1882966|8192|1884160|4194304|8192|512|4|0|0|0|4|0|1900544|512|0|2|34112|1048576|4096|1048576|4096|0|16|3|3.7426168884033264|0.10191042566270775|7.9782118794599555|625493.3333333334|512|1874944|625294.6666666666|12|1874868|1|1|0|0|1|3.3054291681367696|3.3054291681367696|3.3054291681367696|912.0|912|912|0|0|0|0
be90cfbedac6a1b98b2f6f176fa4660b15e2f813aa88b38acf94c6d4dd8f4818.exe|7691a18f45efe0777bb520b75ffdf77f|332|224|258|11|0|432640|37888|0|440478|8192|442368|4194304|8192|512|4|0|0|0|4|0|491520|512|494024|2|34112|1048576|4096|1048576|4096|0|16|3|4.131845424623207|0.10191042566270775|6.689245299194773|156842.66666666666|512|432640|156504.66666666666|12|432292|1|1|0|0|68|3.44548463341768|2.5569650683787604|5.941897479211703|467.13235294117646|13|9640|0|0|1|0
7f297b3a0108b6922377cf04123bf9d1b8c88fe0c2cacb32154adada625f860d.exe|eca41bed3ed1228d8cc74ffedf3a8677|332|224|258|48|0|599552|17408|0|607382|8192|614400|4194304|8192|512|4|0|0|0|4|0|647168|512|0|2|34112|1048576|4096|1048576|4096|0|16|3|4.594908693035578|0.10191042566270775|7.708094666205432|205653.33333333334|512|599552|205202.66666666666|12|599196|1|1|0|0|5|4.750117785276977|2.0779838939678936|6.471680121999811|3214.4|48|9640|0|0|1|0
